model,R,S,C,RS_mean,RSC_mean,E,R_norm,S_norm,C_norm,E_norm,RSCE,RSCE_low,RSCE_high
ExtraTrees,0.9056694845413488,0.9783943645044866,0.9855179428329468,0.9420319245229176,0.956527263959594,-0.1152773772817381,1.0,0.8957941320578025,1.0,0.050334691924732194,0.8737717088098139,0.8233488576042837,0.9248659947061367
RandomForest,0.734254401384011,0.9847834513669828,0.9845703968998388,0.859518926375497,0.9012027498836108,0.1002618799080559,0.6962348347793248,1.0,0.9911176783839852,0.4286145895173107,0.819578928540258,0.7723001895890886,0.8699071660455735
XGBoost,0.7807576129487394,0.9719154686349366,0.9687984109463736,0.876336540791838,0.9071571641766832,-0.1439574688683621,0.7786433106500611,0.7901234811614081,0.843270648633734,0.0,0.7171484983351937,0.6738136396568954,0.7618862692602667
GradientBoosting,0.7138331724112178,0.9709025991188704,0.9702573591301302,0.8423678857650441,0.8849977102200728,-0.1276166529470334,0.6600463157839692,0.7736036013561378,0.8569468690009316,0.028678776450715624,0.6703568581656869,0.6307359230954513,0.7090061641806789
SVC_RBF,0.5960464663673831,0.9664326930385252,0.9617881379462064,0.7812395797029541,0.8414224324507048,0.4258302955925921,0.4513161529349776,0.7006995302819652,0.7775561568841778,1.0,0.6462475516354161,0.609068534307273,0.6827319629047867
MLP,0.6539192859533811,0.9347626849981155,0.909628107967544,0.7943409854757484,0.832770026306347,-0.1242424242424242,0.5538727441025763,0.18416238708559066,0.28860660247914105,0.034600680912460914,0.33797920235378204,0.3181940529244985,0.35758434133550254
GaussianNB,0.5208320999366228,0.9367320387711816,0.9153495613775912,0.7287820693539022,0.7909712333617985,0.2729925029692642,0.318028556388779,0.2162825043455731,0.34223966397347166,0.7317636457709483,0.3337204712309727,0.3138181611300519,0.35306451467336625
LightGBM,0.6151352843138209,0.9234712912298956,0.8871756612783408,0.7693032877718582,0.8085940789406857,0.0539427189647343,0.48514350249233684,0.0,0.07813675020950721,0.3473226351575296,0.24441701455458914,0.23009579128628754,0.2587648439135036
Logistic_L1,0.3972053959423491,0.9289330048237926,0.8853684384670695,0.6630692003830709,0.7371689464110704,0.2086054747981488,0.0989493162612423,0.08908043007594639,0.061195793913216515,0.6187618717998479,0.14041920148990894,0.132486464441349,0.1488259298383506
Logistic_L2,0.3413681663411186,0.9239611299417252,0.8788402099078565,0.632664648141422,0.7147231687302336,0.0433848212150753,0.0,0.007989258749559476,0.0,0.3287931081859435,0.03527608844346219,0.033247141002552674,0.03738178675805013
