model,R,S,RS_mean
ExtraTrees,0.9056694845413487,0.9783943645044866,0.9420319245229176
XGBoost,0.7807576129487394,0.9719154686349366,0.876336540791838
RandomForest,0.734254401384011,0.9847834513669829,0.859518926375497
GradientBoosting,0.7138331724112178,0.9709025991188704,0.8423678857650441
MLP,0.6539192859533811,0.9347626849981155,0.7943409854757484
SVC_RBF,0.5960464663673831,0.9664326930385251,0.7812395797029541
LightGBM,0.6151352843138209,0.9234712912298955,0.7693032877718582
GaussianNB,0.5208320999366228,0.9367320387711817,0.7287820693539022
Logistic_L1,0.39720539594234916,0.9289330048237926,0.6630692003830709
Logistic_L2,0.3413681663411186,0.9239611299417253,0.632664648141422
