model,variant,roc_auc,pr_auc,brier,accuracy,log_loss,ece
Logistic_L1,raw,0.778488888888889,0.5017242165336256,0.1900747723823076,0.7033333333333334,0.5660793629419181,0.17447301783929536
Logistic_L1,calibrated_isotonic,0.7752296296296297,0.49520857724751527,0.1601540500031214,0.7666666666666667,0.5929151102836323,0.048528235310466634
RandomForest,raw,0.7395555555555555,0.47418436496630123,0.16353418004627024,0.7666666666666667,0.49113034186251087,0.057990897345929375
RandomForest,calibrated_isotonic,0.7379851851851852,0.4433032198623831,0.16722038004388412,0.7566666666666667,0.4998481266261083,0.054304333508150046
ExtraTrees,raw,0.7556740740740742,0.4793101904848754,0.16209612129208537,0.7566666666666667,0.4900029152028683,0.04967854296273402
ExtraTrees,calibrated_isotonic,0.7462518518518518,0.46166278194808774,0.16675268099273693,0.7633333333333333,0.6161518010252099,0.047658683357182825
GradientBoosting,raw,0.7482074074074074,0.44318352620290075,0.17072841175911696,0.7566666666666667,0.5087103012369207,0.08695431943767436
GradientBoosting,calibrated_isotonic,0.7275851851851852,0.4112196185271792,0.16830617433025621,0.7466666666666667,0.4954684799991075,0.03882173097320721
MLP,raw,0.7638518518518519,0.4910900243445178,0.161027242296472,0.7633333333333333,0.49131143091787083,0.0628908556102909
MLP,calibrated_isotonic,0.7654814814814814,0.4918155325493004,0.15929845245300261,0.76,0.48448135624207017,0.05739956281390063
SVC_RBF,raw,0.7464296296296297,0.49541455021128844,0.16152508868453044,0.75,0.4885764243610623,0.02847712486676773
SVC_RBF,calibrated_isotonic,0.7461037037037037,0.45268999639247615,0.16302859446734555,0.76,0.4918808359047419,0.03825660472352594
