model,R,S,C,RS_mean,RSC_mean
ExtraTrees,0.9056694845413487,0.9783943645044866,0.9855179428329468,0.9420319245229176,0.9565272639595941
XGBoost,0.7807576129487394,0.9719154686349366,0.9687984109463736,0.876336540791838,0.9071571641766832
RandomForest,0.734254401384011,0.9847834513669829,0.9845703968998389,0.859518926375497,0.9012027498836109
GradientBoosting,0.7138331724112178,0.9709025991188704,0.9702573591301302,0.8423678857650441,0.8849977102200728
SVC_RBF,0.5960464663673831,0.9664326930385251,0.9617881379462065,0.7812395797029541,0.8414224324507048
MLP,0.6539192859533811,0.9347626849981155,0.9096281079675441,0.7943409854757484,0.832770026306347
LightGBM,0.6151352843138209,0.9234712912298955,0.8871756612783408,0.7693032877718582,0.8085940789406857
GaussianNB,0.5208320999366228,0.9367320387711817,0.9153495613775913,0.7287820693539022,0.7909712333617985
Logistic_L1,0.39720539594234916,0.9289330048237926,0.8853684384670695,0.6630692003830709,0.7371689464110704
Logistic_L2,0.3413681663411186,0.9239611299417253,0.8788402099078565,0.632664648141422,0.7147231687302336
