family,feature,mean_abs_shap,family_total,importance_norm
Bayes,Age,0.01665389460242009,0.24404965769644402,0.06823977857463207
Bayes,BMI,0.014224348935912295,0.24404965769644402,0.05828465022313184
Bayes,HDL,0.010117572356641786,0.24404965769644402,0.04145702334574185
Bayes,Hematocrit,0.011982813168361715,0.24404965769644402,0.049099897461303894
Bayes,LDL,0.00522604281957885,0.24404965769644402,0.021413850234033735
Bayes,Sex_Female,0.0009670908678828025,0.24404965769644402,0.0039626806979000066
Bayes,Sex_Male,0.000967090867882803,0.24404965769644402,0.003962680697900009
Bayes,TG0h,0.16389358025152684,0.24404965769644402,0.6715583287372703
Bayes,TotalProtein,0.006674247015249313,0.24404965769644402,0.027347905660867318
Bayes,WBV,0.01334297681098752,0.24404965769644402,0.05467320436721898
Boosting,Age,0.3098641292301329,3.7573770693593205,0.08246820149008058
Boosting,BMI,0.21520372506114702,3.7573770693593205,0.057274987601348706
Boosting,HDL,0.26255694677361735,3.7573770693593205,0.06987772106098113
Boosting,Hematocrit,0.22558172387215128,3.7573770693593205,0.06003702042888545
Boosting,LDL,0.3305707324953288,3.7573770693593205,0.0879791211776611
Boosting,Sex_Female,0.08208185113072715,3.7573770693593205,0.0218455187263713
Boosting,Sex_Male,0.028190351373950776,3.7573770693593205,0.0075026676464913815
Boosting,TG0h,1.8760657181388425,3.7573770693593205,0.4993019554619082
Boosting,TotalProtein,0.23920895040629173,3.7573770693593205,0.06366381281160047
Boosting,WBV,0.18805294087713098,3.7573770693593205,0.05004899359467171
Kernel SVM,Age,0.01445922492474267,0.24144527237568378,0.059886138098593285
Kernel SVM,BMI,0.018071999653755923,0.24144527237568378,0.0748492586992396
Kernel SVM,HDL,0.01620465769735273,0.24144527237568378,0.06711524122178139
Kernel SVM,Hematocrit,0.0089687197512362,0.24144527237568378,0.03714597375624344
Kernel SVM,LDL,0.012936415801429473,0.24144527237568378,0.05357908098237965
Kernel SVM,Sex_Female,0.006962938828326235,0.24144527237568378,0.02883858010477856
Kernel SVM,Sex_Male,0.0069629388283262384,0.24144527237568378,0.028838580104778577
Kernel SVM,TG0h,0.13328505867166393,0.24144527237568378,0.5520301033862248
Kernel SVM,TotalProtein,0.014926806978855935,0.24144527237568378,0.061822734535179204
Kernel SVM,WBV,0.008666511239994446,0.24144527237568378,0.03589430911080146
Linear models,Age,0.03368061708453654,1.4654139293852175,0.022983688368969243
Linear models,BMI,0.08545717535933967,1.4654139293852175,0.05831606595632086
Linear models,HDL,0.05283819531719687,1.4654139293852175,0.03605683981683181
Linear models,Hematocrit,0.01874653065446104,1.4654139293852175,0.012792652150048647
Linear models,LDL,0.005762697162591451,1.4654139293852175,0.0039324705784727085
Linear models,Sex_Female,0.07680690403969856,1.4654139293852175,0.05241311174919787
Linear models,Sex_Male,0.014518795886627262,1.4654139293852175,0.009907641517177544
Linear models,TG0h,1.0974636805452933,1.4654139293852175,0.7489103648726133
Linear models,TotalProtein,0.07811206006706933,1.4654139293852175,0.05330375158904047
Linear models,WBV,0.002027273268403637,1.4654139293852175,0.0013834134013275931
Neural network,Age,0.015919347441849637,0.3937008893677528,0.04043513202983776
Neural network,BMI,0.020110352482472848,0.3937008893677528,0.05108028207598975
Neural network,HDL,0.019604473637497503,0.3937008893677528,0.049795350142542154
Neural network,Hematocrit,0.014587186092453937,0.3937008893677528,0.03705144307872814
Neural network,LDL,0.015142316639334335,0.3937008893677528,0.03846147430261459
Neural network,Sex_Female,0.052415971647200806,0.3937008893677528,0.1331365335023144
Neural network,Sex_Male,0.044419119642297916,0.3937008893677528,0.11282453467054877
Neural network,TG0h,0.17501101460410515,0.3937008893677528,0.444527861964337
Neural network,TotalProtein,0.020953222107089428,0.3937008893677528,0.053221170368038445
Neural network,WBV,0.015537885073451281,0.3937008893677528,0.03946621786504899
Tree-based (bagging),Age,0.012244353996973923,0.20393950366973304,0.060039147770031207
Tree-based (bagging),BMI,0.010263338569927536,0.20393950366973304,0.050325407217565635
Tree-based (bagging),HDL,0.00935306682273606,0.20393950366973304,0.0458619671737691
Tree-based (bagging),Hematocrit,0.009263811708759735,0.20393950366973304,0.04542431231843089
Tree-based (bagging),LDL,0.007949847636157947,0.20393950366973304,0.03898140131316695
Tree-based (bagging),Sex_Female,0.0032730778569961937,0.20393950366973304,0.016049258716921925
Tree-based (bagging),Sex_Male,0.003839019965662607,0.20393950366973304,0.01882430768233924
Tree-based (bagging),TG0h,0.1314582434030992,0.20393950366973304,0.644594308790647
Tree-based (bagging),TotalProtein,0.007127558815325754,0.20393950366973304,0.03494937806099783
Tree-based (bagging),WBV,0.009167184894094084,0.20393950366973304,0.04495051095613017
