model,best_cv_roc_auc,best_params,roc_auc,pr_auc,brier,accuracy,log_loss,nonlinear_alpha
Logistic_L1,0.8067407407407406,"{'C': 0.1, 'class_weight': 'balanced'}",0.7809185185185185,0.5008204269145865,0.19093051790496096,0.7066666666666667,0.5671505573108174,0.0
Logistic_L2,0.8032407407407407,"{'C': 10.0, 'class_weight': 'balanced'}",0.7783111111111112,0.5015303744998295,0.18998048392883415,0.7033333333333334,0.5660008672785445,0.0
RandomForest,0.7817592592592593,"{'max_depth': 5, 'min_samples_split': 5}",0.7405037037037037,0.4465677603002277,0.16427728833677924,0.75,0.49471206535249573,0.0
ExtraTrees,0.7993333333333333,"{'max_depth': 5, 'min_samples_split': 5}",0.767762962962963,0.49052710828574386,0.16741575315859858,0.7466666666666667,0.5079832793337474,0.0
GradientBoosting,0.7726944444444445,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7677037037037038,0.4694867179469632,0.16130349431668894,0.76,0.4799866771711347,0.0
XGBoost,0.7521111111111111,"{'colsample_bytree': 1.0, 'max_depth': 5, 'subsample': 1.0}",0.7195851851851852,0.43954460244461385,0.18733588080032448,0.7433333333333333,0.6233534616613474,0.0
LightGBM,0.7578518518518518,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 63}",0.7349333333333333,0.4688623058533154,0.18397216619451756,0.7566666666666667,0.6257945840206591,0.0
GaussianNB,0.7978888888888889,{},0.7640888888888888,0.5061845268824154,0.15874856505380247,0.7666666666666667,0.4815361929445232,0.0
MLP,0.770425925925926,"{'alpha': 0.001, 'hidden_layer_sizes': (32,)}",0.7638518518518519,0.4910900243445178,0.161027242296472,0.7633333333333333,0.49131143091787083,0.0
SVC_RBF,0.780962962962963,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto'}",0.7513185185185185,0.482563717108566,0.1612640866177073,0.6566666666666666,0.48586444972913095,0.0
Logistic_L1,0.8073148148148149,"{'C': 0.1, 'class_weight': None}",0.7825777777777778,0.504137003157058,0.1540259827792613,0.7733333333333333,0.4642827052935494,0.5
Logistic_L2,0.8028518518518519,"{'C': 1.0, 'class_weight': 'balanced'}",0.7765333333333333,0.4940310958842708,0.19169209228004458,0.6966666666666667,0.5622960737258295,0.5
RandomForest,0.7831111111111111,"{'max_depth': 5, 'min_samples_split': 5}",0.7393777777777778,0.45180568342278454,0.1646182625917948,0.76,0.49484725465025076,0.5
ExtraTrees,0.7994259259259259,"{'max_depth': 5, 'min_samples_split': 5}",0.7710814814814815,0.4800723524311787,0.16663402388205747,0.7466666666666667,0.5044826579384479,0.5
GradientBoosting,0.7744444444444445,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7601777777777778,0.4518529275597788,0.16310574537386469,0.76,0.4840887846083363,0.5
XGBoost,0.7520555555555555,"{'colsample_bytree': 0.8, 'max_depth': 3, 'subsample': 1.0}",0.7441777777777778,0.44729193345839585,0.17410789417287642,0.7566666666666667,0.5338888896508517,0.5
LightGBM,0.7471666666666665,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}",0.7199407407407408,0.4265424352270036,0.19118638345915387,0.74,0.6104914500874669,0.5
GaussianNB,0.7892962962962964,{},0.7694222222222222,0.5096222442988849,0.15746252204541655,0.7666666666666667,0.47088727145138837,0.5
MLP,0.773888888888889,"{'alpha': 0.001, 'hidden_layer_sizes': (32,)}",0.7556148148148149,0.4632524843671985,0.16717886794663722,0.75,0.5005898892379129,0.5
SVC_RBF,0.7814074074074073,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto'}",0.7459555555555555,0.4469539567586296,0.16457501981629288,0.6666666666666666,0.4910608891389607,0.5
Logistic_L1,0.8072777777777779,"{'C': 0.1, 'class_weight': None}",0.7829925925925926,0.5057902723763222,0.153951938844558,0.7733333333333333,0.46372797964586493,1.0
Logistic_L2,0.8025370370370372,"{'C': 1.0, 'class_weight': 'balanced'}",0.7768296296296296,0.4934631146918881,0.1921529333992698,0.6966666666666667,0.5625065360738607,1.0
RandomForest,0.7838888888888889,"{'max_depth': 5, 'min_samples_split': 5}",0.7326222222222222,0.43538769140029604,0.16547367098027438,0.75,0.4979642522769014,1.0
ExtraTrees,0.7988148148148149,"{'max_depth': 5, 'min_samples_split': 5}",0.7697185185185185,0.4901544610536997,0.1665530945144187,0.7466666666666667,0.5045864509491451,1.0
GradientBoosting,0.7746666666666666,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",0.7542814814814816,0.43615031220631784,0.1641003991992538,0.7433333333333333,0.48502936196649793,1.0
XGBoost,0.7549259259259259,"{'colsample_bytree': 1.0, 'max_depth': 3, 'subsample': 0.8}",0.7275259259259259,0.4467231881305197,0.18050452700183528,0.7433333333333333,0.5571071126343969,1.0
LightGBM,0.7516851851851852,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}",0.7196444444444444,0.4272908911715974,0.19171481167626928,0.7333333333333333,0.6340046277245199,1.0
GaussianNB,0.787074074074074,{},0.7659851851851852,0.4978566691031498,0.15836328081739293,0.78,0.47417244271365167,1.0
MLP,0.7760370370370369,"{'alpha': 0.001, 'hidden_layer_sizes': (32,)}",0.7568592592592593,0.4649355022988552,0.16535292455794917,0.7366666666666667,0.49426178922101843,1.0
SVC_RBF,0.7809444444444444,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto'}",0.7478814814814815,0.4590223543346892,0.16395748615071146,0.6666666666666666,0.48970026806071093,1.0
