scenario,noise_type,noise_rate,pos_flip_rate,neg_flip_rate,actual_flip_fraction,model,roc_auc,pr_auc,brier,accuracy,log_loss
G1_random_symmetric,RSLN,0.05,0.05,0.05,0.05,Logistic_L1,0.7816888888888889,0.49728519977742947,0.19602441937857584,0.7033333333333334,0.5793864278150015
G1_random_symmetric,RSLN,0.05,0.05,0.05,0.05,Logistic_L2,0.7806222222222222,0.49590008979706063,0.1959129569823868,0.7066666666666667,0.5791536971620116
G1_random_symmetric,RSLN,0.05,0.05,0.05,0.05,RandomForest,0.7404444444444445,0.4505084592773275,0.16417536816675948,0.7533333333333333,0.4932541011638769
G1_random_symmetric,RSLN,0.05,0.05,0.05,0.05,ExtraTrees,0.756562962962963,0.47869858053004666,0.16439869979912486,0.7466666666666667,0.4993650845345013
G1_random_symmetric,RSLN,0.05,0.05,0.05,0.05,GradientBoosting,0.730725925925926,0.4112389165373695,0.17489127158167497,0.7466666666666667,0.519834030379991
G1_random_symmetric,RSLN,0.05,0.05,0.05,0.05,AdaBoost,0.769274074074074,0.4602127306559083,0.16249747396438674,0.7466666666666667,0.49485811397314144
G1_random_symmetric,RSLN,0.05,0.05,0.05,0.05,GaussianNB,0.7490962962962964,0.49275922712645104,0.1610367148361507,0.7566666666666667,0.49165966565936475
G1_random_symmetric,RSLN,0.05,0.05,0.05,0.05,KNN,0.7000592592592593,0.4483273202909295,0.17044643848740335,0.76,0.6290832788620955
G1_random_symmetric,RSLN,0.05,0.05,0.05,0.05,MLP,0.7448888888888889,0.4738849965397973,0.16443774237642048,0.7666666666666667,0.4974280467836009
G1_random_symmetric,RSLN,0.05,0.05,0.05,0.05,SVC_RBF,0.7407407407407407,0.463060788278574,0.16307474005043276,0.75,0.49703941157503134
G1_random_symmetric,RSLN,0.1,0.1,0.1,0.1,Logistic_L1,0.7811555555555556,0.4983236354181678,0.2046798348309886,0.6933333333333334,0.5986410969812863
G1_random_symmetric,RSLN,0.1,0.1,0.1,0.1,Logistic_L2,0.7808592592592593,0.4988847107613086,0.20449963769127014,0.69,0.5981907491721802
G1_random_symmetric,RSLN,0.1,0.1,0.1,0.1,RandomForest,0.7438814814814816,0.48727660534476835,0.16557779564870015,0.7566666666666667,0.5045616957842964
G1_random_symmetric,RSLN,0.1,0.1,0.1,0.1,ExtraTrees,0.7584000000000001,0.49578398935390966,0.16723473295995306,0.7533333333333333,0.5121422871040731
G1_random_symmetric,RSLN,0.1,0.1,0.1,0.1,GradientBoosting,0.6849185185185185,0.3589139677996899,0.18795682725664417,0.7,0.5555597819990924
G1_random_symmetric,RSLN,0.1,0.1,0.1,0.1,AdaBoost,0.7779259259259259,0.478804144024045,0.15954444056274378,0.7733333333333333,0.48818740381740516
G1_random_symmetric,RSLN,0.1,0.1,0.1,0.1,GaussianNB,0.7675851851851851,0.5028608924464317,0.16034401702141599,0.7666666666666667,0.49471579218369327
G1_random_symmetric,RSLN,0.1,0.1,0.1,0.1,KNN,0.6723555555555556,0.4236481668281369,0.1763953903072178,0.7666666666666667,0.6460605531844097
G1_random_symmetric,RSLN,0.1,0.1,0.1,0.1,MLP,0.7245037037037038,0.46606543419840957,0.167176893880999,0.7633333333333333,0.5104484653648308
G1_random_symmetric,RSLN,0.1,0.1,0.1,0.1,SVC_RBF,0.7421037037037037,0.463802298800174,0.16801617998398066,0.75,0.5144667247898597
G2_class_conditional,CCLN,,0.15,0.05,0.075,Logistic_L1,0.7647407407407408,0.49072654703106006,0.1994136355265511,0.6666666666666666,0.58602173026313
G2_class_conditional,CCLN,,0.15,0.05,0.075,Logistic_L2,0.7635555555555555,0.4872894147510125,0.19945692705710738,0.6666666666666666,0.5860754805031504
G2_class_conditional,CCLN,,0.15,0.05,0.075,RandomForest,0.7132444444444445,0.4386117557993652,0.16766656174396524,0.7533333333333333,0.5065419481133921
G2_class_conditional,CCLN,,0.15,0.05,0.075,ExtraTrees,0.7466074074074074,0.47761936499239277,0.16537474058242835,0.7566666666666667,0.5012894710414211
G2_class_conditional,CCLN,,0.15,0.05,0.075,GradientBoosting,0.7047111111111112,0.402721757760718,0.1759205450702825,0.7366666666666667,0.5271995749387891
G2_class_conditional,CCLN,,0.15,0.05,0.075,AdaBoost,0.7824,0.49553281415582207,0.16364188766936488,0.75,0.4981589129687855
G2_class_conditional,CCLN,,0.15,0.05,0.075,GaussianNB,0.7476740740740742,0.48580091245882034,0.16135445561473963,0.76,0.49120810013384697
G2_class_conditional,CCLN,,0.15,0.05,0.075,KNN,0.7047407407407407,0.4710919966021197,0.1667629329396904,0.7633333333333333,0.6127627196823645
G2_class_conditional,CCLN,,0.15,0.05,0.075,MLP,0.7241481481481481,0.4430690960465252,0.1671897180727339,0.7566666666666667,0.5034925549723535
G2_class_conditional,CCLN,,0.15,0.05,0.075,SVC_RBF,0.7376,0.45964183382760204,0.16471628386356302,0.75,0.5003130494076706
